period,geo4,surface_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2018–2020,RURAL_VICTORIA,Loose/Gravel,11,1,90.9090909090909,0.0012458942122550686,0.12458942122550686
2018–2020,RURAL_VICTORIA,Snow/Ice,156,3,19.23076923076923,0.01766904519198097,1.766904519198097
2018–2020,RURAL_VICTORIA,Oil/Mud/Debris,61,2,32.78688524590164,0.00690904972250538,0.6909049722505379
2018–2020,RURAL_VICTORIA,Other/Unknown,401,6,14.962593516209477,0.0454185071922075,4.54185071922075
2018–2020,SMALL_CITIES,Dry,1766,26,14.722536806342015,0.8465963566634708,84.65963566634707
2018–2020,SMALL_CITIES,Wet,232,3,12.931034482758621,0.1112176414189837,11.12176414189837
2018–2020,SMALL_CITIES,Loose/Gravel,1,0,0,4.7938638542665386e-4,0.047938638542665384
2018–2020,SMALL_CITIES,Snow/Ice,3,0,0,0.0014381591562799617,0.14381591562799617
2018–2020,SMALL_CITIES,Oil/Mud/Debris,8,0,0,0.003835091083413231,0.38350910834132307
2018–2020,SMALL_CITIES,Other/Unknown,76,2,26.31578947368421,0.0364333652924257,3.64333652924257
2018–2020,TOWNS,Dry,1025,19,18.536585365853657,0.8340113913751017,83.40113913751017
2018–2020,TOWNS,Wet,155,8,51.61290322580645,0.12611879576891782,12.611879576891782
2018–2020,TOWNS,Loose/Gravel,1,0,0,8.136696501220504e-4,0.08136696501220504
2018–2020,TOWNS,Snow/Ice,2,0,0,0.0016273393002441008,0.16273393002441008
2018–2020,TOWNS,Oil/Mud/Debris,1,0,0,8.136696501220504e-4,0.08136696501220504
2018–2020,TOWNS,Other/Unknown,45,0,0,0.03661513425549227,3.6615134255492268
2021–2023,MELB_URBAN,Dry,21318,226,10.60136973449667,0.7770083102493075,77.70083102493075
2021–2023,MELB_URBAN,Wet,3767,36,9.556676400318556,0.13730135588278175,13.730135588278175
2021–2023,MELB_URBAN,Loose/Gravel,6,0,0,2.1869077124945328e-4,0.02186907712494533
2021–2023,MELB_URBAN,Snow/Ice,17,0,0,6.196238518734509e-4,0.06196238518734509
2021–2023,MELB_URBAN,Oil/Mud/Debris,64,1,15.625,0.002332701559994168,0.2332701559994168
2021–2023,MELB_URBAN,Other/Unknown,2264,1,0.4416961130742049,0.0825193176847937,8.25193176847937
2021–2023,RURAL_VICTORIA,Dry,7255,355,48.93177119228118,0.729365637880768,72.9365637880768
2021–2023,RURAL_VICTORIA,Wet,1840,62,33.69565217391305,0.18498039609932643,18.498039609932643
2021–2023,RURAL_VICTORIA,Loose/Gravel,7,0,0,7.037297677691766e-4,0.07037297677691766
2021–2023,RURAL_VICTORIA,Snow/Ice,243,4,16.46090534979424,0.024429476223987133,2.442947622398713
2021–2023,RURAL_VICTORIA,Oil/Mud/Debris,48,4,83.33333333333333,0.004825575550417211,0.48255755504172115
2021–2023,RURAL_VICTORIA,Other/Unknown,554,8,14.440433212996389,0.05569518447773198,5.5695184477731985
2021–2023,SMALL_CITIES,Dry,1916,22,11.482254697286013,0.8305158214130905,83.05158214130905
2021–2023,SMALL_CITIES,Wet,298,6,20.13422818791946,0.129172084958821,12.917208495882099
2021–2023,SMALL_CITIES,Loose/Gravel,1,0,0,4.3346337234503684e-4,0.043346337234503686
2021–2023,SMALL_CITIES,Oil/Mud/Debris,3,0,0,0.0013003901170351106,0.13003901170351106
2021–2023,SMALL_CITIES,Other/Unknown,89,0,0,0.03857824013870828,3.857824013870828
2021–2023,TOWNS,Dry,1098,17,15.482695810564662,0.7904967602591793,79.04967602591793
2021–2023,TOWNS,Wet,220,5,22.727272727272727,0.1583873290136789,15.83873290136789
2021–2023,TOWNS,Snow/Ice,2,0,0,0.0014398848092152627,0.14398848092152627
2021–2023,TOWNS,Oil/Mud/Debris,3,0,0,0.0021598272138228943,0.21598272138228944
2021–2023,TOWNS,Other/Unknown,66,1,15.151515151515152,0.047516198704103674,4.751619870410368
2024–2025,MELB_URBAN,Dry,5462,73,13.365067740754302,0.7949352350458448,79.49352350458449
2024–2025,MELB_URBAN,Wet,777,8,10.296010296010296,0.11308397613156745,11.308397613156746
2024–2025,MELB_URBAN,Loose/Gravel,2,0,0,2.9107844564110026e-4,0.029107844564110027
2024–2025,MELB_URBAN,Snow/Ice,5,0,0,7.276961141027507e-4,0.07276961141027508
2024–2025,MELB_URBAN,Oil/Mud/Debris,11,0,0,0.0016009314510260515,0.16009314510260514
2024–2025,MELB_URBAN,Other/Unknown,614,2,3.257328990228013,0.08936108281181779,8.93610828118178
2024–2025,RURAL_VICTORIA,Dry,1846,91,49.29577464788732,0.7482772598297527,74.82772598297527
2024–2025,RURAL_VICTORIA,Wet,371,11,29.649595687331537,0.1503850830968788,15.03850830968788
2024–2025,RURAL_VICTORIA,Loose/Gravel,3,0,0,0.0012160518848804217,0.12160518848804217
2024–2025,RURAL_VICTORIA,Snow/Ice,43,1,23.25581395348837,0.017430077016619375,1.7430077016619374
2024–2025,RURAL_VICTORIA,Oil/Mud/Debris,19,0,0,0.007701661937576003,0.7701661937576003
2024–2025,RURAL_VICTORIA,Other/Unknown,185,2,10.81081081081081,0.07498986623429266,7.498986623429266
2024–2025,SMALL_CITIES,Dry,470,9,19.148936170212767,0.8453237410071942,84.53237410071942
2024–2025,SMALL_CITIES,Wet,51,1,19.607843137254903,0.09172661870503597,9.172661870503598
2024–2025,SMALL_CITIES,Oil/Mud/Debris,1,0,0,0.0017985611510791368,0.1798561151079137
2024–2025,SMALL_CITIES,Other/Unknown,34,1,29.41176470588235,0.06115107913669065,6.115107913669065
2024–2025,TOWNS,Dry,256,6,23.4375,0.8126984126984127,81.26984126984127
2024–2025,TOWNS,Wet,40,2,50,0.12698412698412698,12.698412698412698
2024–2025,TOWNS,Snow/Ice,1,0,0,0.0031746031746031746,0.31746031746031744
2024–2025,TOWNS,Oil/Mud/Debris,3,0,0,0.009523809523809525,0.9523809523809524
2024–2025,TOWNS,Other/Unknown,15,0,0,0.047619047619047616,4.761904761904762
